candidate_id,stage,candidate_name,hypothesis_family,project_status,registry_status,quality_known,full_oof_completed,komus_gini,decision,primary_source,compute_evidence,exclusion_reason,final_test_used,reopen_condition
xgboost,1,XGBoost,GBDT,completed_accepted,TESTED_FULL_PROTOCOL,true,true,0.8039898779,,reports/generated/stage1_baseline_results_V2.json,accepted 3-fold OOF,,false,
catboost,1,CatBoost,GBDT,completed_accepted,TESTED_FULL_PROTOCOL,true,true,0.8037796907,,reports/generated/stage1_baseline_results_V2.json,accepted 3-fold OOF,,false,
lightgbm,1,LightGBM,GBDT,completed_accepted,TESTED_FULL_PROTOCOL,true,true,0.8033629489,,reports/generated/stage1_baseline_results_V2.json,accepted 3-fold OOF,,false,
gbdt_mean,7,GBDT_mean,GBDT comparator,completed_accepted,TESTED_FULL_PROTOCOL,true,true,0.8063993952,,reports/generated/stage7_tabm_stacking_results_V1.json,saved accepted OOF comparator,,false,
tabm,6,TabM standalone,tabular MLP,completed_accepted,TESTED_FULL_PROTOCOL,true,true,0.781310,inferior,reports/generated/stage6_tabm_results_V4.json,accepted 3-fold OOF,,false,
tabm_stacking,7,TabM stacking,stacking,completed_accepted,TESTED_FULL_PROTOCOL,true,true,0.804260,no_material_benefit,reports/generated/stage7_tabm_stacking_results_V1.json,accepted 3-fold OOF,,false,
ft_transformer,8,FT-Transformer,transformer,completed_accepted,TESTED_FULL_PROTOCOL,true,true,0.801528,no_material_benefit,reports/generated/stage8_ft_transformer_results_V1.json,accepted 3-fold OOF,,false,
realmlp,11,RealMLP,tabular MLP,completed_accepted,TESTED_FULL_PROTOCOL,true,true,0.793325,inferior,reports/generated/stage11_realmlp_results_V1.json,accepted 3-fold OOF,,false,
rank_complementarity,9,rank complementarity,coverage diagnostic,completed_accepted,TESTED_FULL_PROTOCOL,true,true,,no_material_rank_complementarity,reports/generated/stage9_rank_capacity_results_V1.json,diagnostic not classifier,,false,
residual_reserve,10,oracle/residual model reserve,coverage diagnostic,completed_accepted,TESTED_FULL_PROTOCOL,true,true,,limited_residual_model_reserve,reports/generated/stage10_residual_model_reserve_results_V1.json,diagnostic not classifier,,false,
tabfm,13,Google TabFM,tabular foundation model,STOPPED_BY_COMPUTE_COST,STOPPED_BY_COMPUTE_COST,false,false,,,reports/summary/stage13_tabfm_summary_V1.json,SAFE-RUN and real inference passed; full OOF not run,compute cost,false,new hardware/feasibility evidence
tabpfn3,14,TabPFN-3 large-context,tabular foundation model,TABPFN3_STAGE14_REJECTED_BY_CPU_CONSTRAINT,REJECTED_BY_HARDWARE_CONSTRAINT,false,false,,,https://github.com/PriorLabs/TabPFN,run/OOF not performed,LATE_COMPUTE_FEASIBILITY_GATE,false,new feasibility evidence without hypothesis change
xrfm,14,xRFM V1,kernel metric learning / recursive localization,STOPPED_BY_COMPUTE_COST / HARDWARE_CONSTRAINT,REJECTED_BY_HARDWARE_CONSTRAINT,false,false,,,reports/generated/stage14_xrfm_hardware_stop_V1.json,guard stopped before model.fit,HARDWARE_CONTRACT_ORDERING_FAILURE,false,hardware meeting frozen contract
tabiclv2,,TabICLv2,tabular foundation model,,SCREENED_COMPUTE_RISK,false,false,,,https://github.com/soda-inria/tabicl,GPU recommended for large datasets; CPU/disk offloading supported,screened compute risk,false,feasibility gate PASS
tabdpt,,TabDPT / TabDPT-Turbo,tabular foundation model,,SCREENED_COMPUTE_RISK,false,false,,,https://github.com/layer6ai-labs/TabDPT-inference,context size and ensembles are speed-quality knobs,screened compute risk,false,feasibility gate PASS
tabr,,TabR,retrieval-augmented tabular DL,,NOT_OPENED_AFTER_STOPPING_RULE,false,false,,,https://github.com/ZhengdongLuo-UCAS/TabR,retrieval-augmented mechanism,stopping rule,false,new decision-changing hypothesis
modernnca,,ModernNCA,metric / differentiable nearest-neighbour,,NOT_OPENED_AFTER_STOPPING_RULE,false,false,,,https://proceedings.iclr.cc/paper_files/paper/2025/hash/ecd294194d5155432aab533f7ce0f6fe-Abstract-Conference.html,distinct learned metric mechanism,stopping rule,false,new decision-changing hypothesis
saint,,SAINT,transformer / contrastive pretraining,,NOT_OPENED_AFTER_STOPPING_RULE,false,false,,,https://github.com/somepago/saint,official experiments used RTX 2080Ti,stopping rule,false,new decision-changing hypothesis
node,,NODE,neural oblivious decision ensembles,,NOT_OPENED_AFTER_STOPPING_RULE,false,false,,,https://github.com/Qwicen/node,README notes CPU possible but slower and memory inefficient,stopping rule,false,new decision-changing hypothesis
tabtransformer,,TabTransformer,transformer,,NOT_OPENED_AFTER_STOPPING_RULE,false,false,,,https://arxiv.org/abs/2012.06678,mechanism overlaps checked transformer direction,stopping rule,false,new decision-changing hypothesis
