Stage;Research question;Controlled change;Primary evidence;Key metric/result;Decision;Interpretation;Limitation
Stage 1 V2;Можно ли получить сильный baseline без Q_B1_norm/Q_B2_norm?;Одинаковый 47-feature protocol для CatBoost/XGBoost/LightGBM;reports/summary/stage1_baseline_summary_V2.json;XGBoost Gini 0.8040, CatBoost 0.8038, LightGBM 0.8034;Принять baseline Gini ≈0.804;Сильный воспроизводимый baseline без закрытых индексов существует;Random CV не доказывает temporal stability, порог 0.5 диагностический
Stage 2 V1;Какие разрешённые признаки формируют model core?;SHAP и permutation importance на том же baseline;reports/summary/stage2_explainability_summary_V1.json;min SHAP rank correlation 0.974, permutation 0.899, historical top-15 overlap 13/15;Принять устойчивое consensus-ядро;Три GBDT используют близкое ядро разрешённых факторов;Importance описывает модельные ассоциации, а не причинность
Stage 3 V1;Есть ли общая структура тяжёлых OOF-ошибок?;Анализ согласованных OOF-рангов трёх GBDT;reports/summary/stage3_error_analysis_summary_V1.json;28 015 defaults, 1 278 deeply missed, common blind spot 805, сильное disagreement 1.9%;Перейти к diagnostic закрытых сигналов;Evidence сильнее поддерживает общий information gap, чем дефект одной GBDT-реализации;Не найден конкретный причинный или внешний фактор, temporal stability не доказана
Stage 4 V2;Какой закрытый индекс лучше видит common blind spot?;Q_B1/Q_B2 только как diagnostic/reference при fixed capacity;reports/summary/stage4_closed_signal_summary_V2.json;blind-spot ROC-AUC Q_B2 0.723382 против Q_B1 0.697340, Q_B2 rescue@30% 59.430%;Stage 4 V2 accepted;Q_B2 лучше диагностирует blind spot, но не является production predictor;Tie-groups и fixed capacity диагностические, причинность не доказана
Stage 5 V1;Какую часть Q_B2 можно восстановить из 47 признаков?;OOF proxy Q_B2 только по разрешённым признакам;reports/summary/stage5_qb2_proxy_audit_summary_V1.json;blind AUC oracle 0.723382, proxy 0.398056, gap 0.325326;material_missing_signal;Разрешённые признаки не воспроизводят существенную часть blind-spot signal;Не доказаны причинность Q_B2, конкретный недостающий признак или гарантированный эффект внешних данных
Stage 6 V4;Помогает ли TabM standalone?;TabM против XGBoost на locked 47-feature protocol;reports/summary/stage6_tabm_summary_V4.json;TabM OOF Gini 0.781310, ΔGini -0.022680;inferior;TabM standalone не улучшает GBDT control;Не проверяет новые признаки или temporal stability
Stage 7 V1;Даёт ли TabM stacking дополнительную ценность?;TabM meta-model поверх locked GBDT evidence;reports/summary/stage7_tabm_stacking_summary_V1.json;GBDT_mean Gini 0.806399, hybrid 0.804260, ниже на 3/3 folds;no_material_benefit;Stacking не дал материального преимущества над простым GBDT_mean;Три folds не являются claim о statistical significance или business benefit
Stage 8 V1;Помогает ли FT-Transformer?;FT-Transformer против GBDT_mean на тех же 47 признаках;reports/summary/stage8_ft_transformer_summary_V1.json;OOF Gini 0.801528, ΔGini -0.004871;no_material_benefit;Архитектура не устранила основной разрыв;Не проверяет новые признаки и не доказывает temporal stability
Stage 9 V1;Есть ли полезная rank complementarity FT и GBDT?;Fixed-capacity OOF rescue comparison при 30%;reports/summary/stage9_rank_capacity_summary_V1.json;FT rescue 9/805, GBDT_mean 0/805, Δ +1.118 п.п.;no_material_rank_complementarity;Небольшая complementarity ниже material threshold;Capacity не является business policy
Stage 10 V1;Каков верхний residual reserve всех locked scores?;Oracle-any union of locked model rankings;reports/summary/stage10_residual_model_reserve_summary_V1.json;oracle rescue 15/805, Δ +1.863 п.п., effective union capacity 37.446%;limited_residual_model_reserve;Даже oracle diagnostic показывает ограниченный residual reserve;Oracle-any не deployable и не система с общей fixed capacity 30%
Stage 11 V1;Помогает ли RealMLP?;RealMLP против GBDT_mean на тех же 47 признаках;reports/summary/stage11_realmlp_summary_V1.json;RealMLP Gini 0.793325 против 0.806399, ΔGini -0.013074, проигрыш 3/3 folds;inferior;Ещё одна современная architecture не дала evidence улучшения;Не устанавливает математический ceiling или невозможность будущей лучшей модели
